# community_pair_v6 — two three-population loop communities, one long
#   observation window each. Stacked: 'community' is a neutral 0/1 index
#   (which is which dynamical class is NOT encoded — that is the question).
# columns: community (0 or 1), tau (the community's own clock — a lag for the
#   two-point columns, an elapsed time for the winding columns), C (normalized
#   rotation-plane autocorr), chi (integrated response), Cxy / Cyx (the two
#   directed cross-correlations between the two community-rotation axes),
#   phiMean / phiVar (mean and variance of the cumulative net turnover angle
#   swept up to elapsed tau, across the run's sub-windows).
# All columns dimensionless (angle in radians). Two operating points.
# Generated by each community's own exact linear propagator + sim — not via conform.
community,tau,C,chi,Cxy,Cyx,phiMean,phiVar
0,0.050000,0.968782,0.000000,0.599536,0.599536,0.005257,0.370247
0,0.217647,0.874485,0.147775,0.592112,0.592112,0.046555,1.693420
0,0.385294,0.793706,0.274331,0.577768,0.577768,0.031269,3.023210
0,0.552941,0.723827,0.383781,0.558693,0.558693,-0.024735,4.932907
0,0.720588,0.662810,0.479327,0.536527,0.536527,-0.079002,6.108448
0,0.888235,0.609060,0.563473,0.512488,0.512488,-0.071320,7.566973
0,1.055882,0.561328,0.638182,0.487476,0.487476,-0.045305,8.866465
0,1.223529,0.518628,0.705002,0.462151,0.462151,-0.064401,10.776748
0,1.391176,0.480177,0.765161,0.436989,0.436989,-0.078067,12.418170
0,1.558824,0.445353,0.819639,0.412325,0.412325,-0.091541,13.648048
0,1.726471,0.413653,0.869222,0.388396,0.388396,-0.116885,15.654383
0,1.894118,0.384672,0.914549,0.365357,0.365357,-0.084440,17.310120
0,2.061765,0.358076,0.956140,0.343306,0.343306,-0.116895,19.997331
0,2.229412,0.333593,0.994425,0.322298,0.322298,-0.165924,21.744937
0,2.397059,0.310994,1.029761,0.302356,0.302356,-0.174743,23.818061
0,2.564706,0.290087,1.062449,0.283481,0.283481,-0.193499,25.760399
0,2.732353,0.270709,1.092745,0.265657,0.265657,-0.188353,26.573655
0,2.900000,0.252720,1.120868,0.248857,0.248857,-0.188564,28.176235
0,3.067647,0.236000,1.147008,0.233046,0.233046,-0.162246,29.700553
0,3.235294,0.220441,1.171330,0.218182,0.218182,-0.122380,30.539754
0,3.402941,0.205951,1.193982,0.204223,0.204223,-0.088692,31.798487
0,3.570588,0.192446,1.215094,0.191125,0.191125,-0.105704,32.796260
0,3.738235,0.179851,1.234782,0.178841,0.178841,-0.062791,34.712003
0,3.905882,0.168100,1.253151,0.167327,0.167327,-0.065428,34.980852
0,4.073529,0.157131,1.270297,0.156540,0.156540,-0.035542,36.565096
0,4.241176,0.146889,1.286306,0.146438,0.146438,-0.065535,40.363432
0,4.408824,0.137324,1.301259,0.136978,0.136978,-0.067680,41.976182
0,4.576471,0.128388,1.315227,0.128123,0.128123,-0.013168,43.961276
0,4.744118,0.120038,1.328279,0.119836,0.119836,0.008527,45.142514
0,4.911765,0.112235,1.340475,0.112080,0.112080,-0.001823,45.925739
0,5.079412,0.104942,1.351875,0.104824,0.104824,-0.014010,46.270421
0,5.247059,0.098126,1.362530,0.098035,0.098035,0.015076,48.473598
0,5.414706,0.091754,1.372490,0.091684,0.091684,0.041942,49.818795
0,5.582353,0.085797,1.381801,0.085744,0.085744,0.021405,50.568103
0,5.750000,0.080227,1.390507,0.080187,0.080187,0.046636,53.405007
0,5.917647,0.075020,1.398646,0.074989,0.074989,0.028803,55.339286
0,6.085294,0.070152,1.406255,0.070128,0.070128,0.027044,56.303244
0,6.252941,0.065600,1.413371,0.065582,0.065582,-0.020403,57.617230
0,6.420588,0.061343,1.420024,0.061330,0.061330,-0.038101,59.028815
0,6.588235,0.057364,1.426245,0.057353,0.057353,-0.025854,60.369477
0,6.755882,0.053642,1.432062,0.053634,0.053634,-0.043789,62.097731
0,6.923529,0.050162,1.437501,0.050156,0.050156,-0.055591,63.539424
0,7.091176,0.046908,1.442587,0.046903,0.046903,-0.050474,64.637799
0,7.258824,0.043865,1.447344,0.043862,0.043862,-0.065776,66.793276
0,7.426471,0.041020,1.451791,0.041017,0.041017,-0.067108,67.390082
0,7.594118,0.038359,1.455950,0.038357,0.038357,-0.013863,68.197393
0,7.761765,0.035871,1.459839,0.035869,0.035869,-0.016373,72.587781
0,7.929412,0.033544,1.463476,0.033543,0.033543,0.031085,73.134051
0,8.097059,0.031368,1.466877,0.031368,0.031368,0.061541,74.668379
0,8.264706,0.029334,1.470058,0.029333,0.029333,0.034356,76.047249
0,8.432353,0.027431,1.473032,0.027431,0.027431,0.036276,76.918968
0,8.600000,0.025652,1.475813,0.025652,0.025652,-0.013117,77.923569
0,8.767647,0.023988,1.478413,0.023988,0.023988,-0.017392,78.736392
0,8.935294,0.022432,1.480845,0.022432,0.022432,-0.004267,82.523143
0,9.102941,0.020977,1.483120,0.020977,0.020977,0.005669,84.680906
0,9.270588,0.019617,1.485246,0.019617,0.019617,-0.051382,85.718419
0,9.438235,0.018344,1.487235,0.018344,0.018344,-0.026136,85.800392
0,9.605882,0.017155,1.489095,0.017154,0.017154,-0.035460,87.109579
0,9.773529,0.016042,1.490834,0.016042,0.016042,-0.061440,89.102658
0,9.941176,0.015001,1.492460,0.015001,0.015001,-0.053829,90.670075
0,10.108824,0.014028,1.493981,0.014028,0.014028,-0.071868,91.590475
0,10.276471,0.013119,1.495404,0.013118,0.013118,-0.097668,92.658861
0,10.444118,0.012268,1.496734,0.012268,0.012268,-0.083310,93.352521
0,10.611765,0.011472,1.497977,0.011472,0.011472,-0.140618,96.567285
0,10.779412,0.010728,1.499140,0.010728,0.010728,-0.117481,98.075720
0,10.947059,0.010032,1.500228,0.010032,0.010032,-0.149204,99.338537
0,11.114706,0.009381,1.501245,0.009381,0.009381,-0.131271,100.430947
0,11.282353,0.008773,1.502196,0.008773,0.008773,-0.140709,101.325723
0,11.450000,0.008204,1.503085,0.008204,0.008204,-0.124179,103.912920
0,11.617647,0.007672,1.503917,0.007672,0.007672,-0.171129,105.839034
0,11.785294,0.007174,1.504695,0.007174,0.007174,-0.188359,107.536037
0,11.952941,0.006709,1.505422,0.006709,0.006709,-0.155659,109.071883
0,12.120588,0.006274,1.506102,0.006274,0.006274,-0.242454,112.292069
0,12.288235,0.005867,1.506739,0.005867,0.005867,-0.201132,114.453621
0,12.455882,0.005486,1.507333,0.005486,0.005486,-0.244976,116.675865
0,12.623529,0.005130,1.507890,0.005130,0.005130,-0.231804,117.694548
0,12.791176,0.004798,1.508410,0.004798,0.004798,-0.250010,120.737797
0,12.958824,0.004487,1.508896,0.004487,0.004487,-0.194765,122.091142
0,13.126471,0.004196,1.509351,0.004196,0.004196,-0.198886,123.814970
0,13.294118,0.003923,1.509776,0.003923,0.003923,-0.210322,124.917000
0,13.461765,0.003669,1.510174,0.003669,0.003669,-0.239225,128.875893
0,13.629412,0.003431,1.510546,0.003431,0.003431,-0.252940,130.276088
0,13.797059,0.003208,1.510894,0.003208,0.003208,-0.321021,146.744043
0,13.964706,0.003000,1.511219,0.003000,0.003000,-0.326276,148.565983
0,14.132353,0.002806,1.511523,0.002806,0.002806,-0.297405,151.097381
0,14.300000,0.002624,1.511808,0.002624,0.002624,-0.353396,153.797505
0,14.467647,0.002454,1.512074,0.002454,0.002454,-0.385715,158.295093
0,14.635294,0.002294,1.512322,0.002294,0.002294,-0.384602,159.700288
0,14.802941,0.002146,1.512555,0.002146,0.002146,-0.416611,164.101052
0,14.970588,0.002006,1.512773,0.002006,0.002006,-0.395021,165.238336
0,15.138235,0.001876,1.512976,0.001876,0.001876,-0.314836,170.476961
0,15.305882,0.001755,1.513166,0.001755,0.001755,-0.311083,170.463167
0,15.473529,0.001641,1.513344,0.001641,0.001641,-0.315619,171.341362
0,15.641176,0.001534,1.513510,0.001534,0.001534,-0.324869,171.998776
0,15.808824,0.001435,1.513666,0.001435,0.001435,-0.334722,173.423201
0,15.976471,0.001342,1.513812,0.001342,0.001342,-0.368340,174.387082
0,16.144118,0.001255,1.513948,0.001255,0.001255,-0.376245,175.058530
0,16.311765,0.001173,1.514075,0.001173,0.001173,-0.336679,175.466673
0,16.479412,0.001097,1.514194,0.001097,0.001097,-0.362871,178.617672
0,16.647059,0.001026,1.514305,0.001026,0.001026,-0.377534,182.640465
0,16.814706,0.000960,1.514409,0.000960,0.000960,-0.391375,184.027419
0,16.982353,0.000897,1.514506,0.000897,0.000897,-0.387429,184.645719
0,17.150000,0.000839,1.514597,0.000839,0.000839,-0.437639,186.022169
0,17.317647,0.000785,1.514682,0.000785,0.000785,-0.468759,186.390652
0,17.485294,0.000734,1.514762,0.000734,0.000734,-0.513542,187.612804
0,17.652941,0.000686,1.514836,0.000686,0.000686,-0.501788,188.563750
0,17.820588,0.000642,1.514906,0.000642,0.000642,-0.488139,189.098028
0,17.988235,0.000600,1.514971,0.000600,0.000600,-0.513598,190.379853
0,18.155882,0.000561,1.515032,0.000561,0.000561,-0.498926,192.012987
0,18.323529,0.000525,1.515089,0.000525,0.000525,-0.498517,194.684367
0,18.491176,0.000491,1.515142,0.000491,0.000491,-0.486973,195.752266
0,18.658824,0.000459,1.515192,0.000459,0.000459,-0.446414,199.209562
0,18.826471,0.000429,1.515238,0.000429,0.000429,-0.479227,200.831176
0,18.994118,0.000401,1.515282,0.000401,0.000401,-0.479736,201.788329
0,19.161765,0.000375,1.515322,0.000375,0.000375,-0.519514,203.638196
0,19.329412,0.000351,1.515360,0.000351,0.000351,-0.521532,204.077012
0,19.497059,0.000328,1.515396,0.000328,0.000328,-0.513442,207.256677
0,19.664706,0.000307,1.515429,0.000307,0.000307,-0.491193,208.059759
0,19.832353,0.000287,1.515460,0.000287,0.000287,-0.477396,209.139084
0,20.000000,0.000268,1.515489,0.000268,0.000268,-0.461103,209.202636
1,0.090690,0.909248,0.000000,-0.085949,0.085949,0.098464,0.659876
1,0.394768,0.617921,0.232189,-0.268755,0.268755,0.415257,4.928181
1,0.698846,0.371706,0.382651,-0.330153,0.330153,0.649528,14.360335
1,1.002924,0.184966,0.467287,-0.316755,0.316755,0.936471,17.172458
1,1.307002,0.057082,0.504088,-0.264542,0.264542,1.209503,21.796465
1,1.611081,-0.020627,0.509631,-0.198603,0.198603,1.483886,25.755181
1,1.915159,-0.060003,0.497372,-0.134545,0.134545,1.786701,28.653916
1,2.219237,-0.072928,0.477161,-0.080594,0.080594,2.090906,31.336255
1,2.523315,-0.069622,0.455488,-0.039797,0.039797,2.334339,34.953533
1,2.827393,-0.057949,0.436092,-0.011945,0.011945,2.682559,39.038741
1,3.131471,-0.043376,0.420687,0.004911,-0.004911,2.979233,43.776972
1,3.435549,-0.029293,0.409638,0.013389,-0.013389,3.266976,46.867971
