# coupling_ramp_v7 — ONE matched (mutual-interaction) three-population
#   community observed at FIVE increasing interaction-strength settings.
# 'level' is a neutral 0..4 index = how far the strength knob was turned up
#   (the strength magnitudes themselves are NOT in the file).
# columns: level, tau (the community's own clock — a lag for the two-point
#   columns, an elapsed time for the winding columns), C (normalized
#   turnover-plane autocorr), chi (integrated response), Cxy / Cyx (the two
#   directed cross-correlations), phiMean / phiVar (mean & variance of the
#   cumulative net turnover angle). Each level has its OWN settling window.
# All columns dimensionless (angle in radians). Five operating points.
# Generated by the community's own exact linear propagator + sim — not via conform.
level,tau,C,chi,Cxy,Cyx,phiMean,phiVar
0,0.028571,0.974368,0.000000,0.299891,0.299891,0.003291,0.167412
0,0.124370,0.893555,0.088879,0.298056,0.298056,0.003395,0.718823
0,0.220168,0.820046,0.169723,0.294277,0.294277,0.011570,2.200602
0,0.315966,0.753126,0.243320,0.288922,0.288922,0.011433,3.471647
0,0.411765,0.692154,0.310374,0.282306,0.282306,0.005027,4.378420
0,0.507563,0.636557,0.371517,0.274700,0.274700,-0.014128,5.245870
0,0.603361,0.585819,0.427315,0.266334,0.266334,-0.001616,6.613774
0,0.699160,0.539479,0.478277,0.257404,0.257404,-0.006256,7.519503
0,0.794958,0.497121,0.524857,0.248076,0.248076,-0.007999,8.767118
0,0.890756,0.458374,0.567468,0.238490,0.238490,-0.004024,10.187890
0,0.986555,0.422901,0.606477,0.228765,0.228765,-0.076181,13.159019
0,1.082353,0.390401,0.642215,0.218997,0.218997,-0.055977,16.615584
0,1.178151,0.360603,0.674983,0.209270,0.209270,-0.047133,17.244453
0,1.273950,0.333262,0.705048,0.199649,0.199649,-0.053826,18.270770
0,1.369748,0.308157,0.732654,0.190190,0.190190,-0.031544,19.394875
0,1.465546,0.285089,0.758020,0.180935,0.180935,0.000137,20.941201
0,1.561345,0.263878,0.781344,0.171920,0.171920,-0.003674,21.840978
0,1.657143,0.244361,0.802805,0.163171,0.163171,-0.026785,27.755558
0,1.752941,0.226391,0.822564,0.154708,0.154708,-0.075507,28.876969
0,1.848739,0.209836,0.840768,0.146546,0.146546,-0.103030,29.886631
0,1.944538,0.194573,0.857550,0.138694,0.138694,-0.094362,31.289508
0,2.040336,0.180493,0.873031,0.131158,0.131158,-0.056666,32.794877
0,2.136134,0.167498,0.887320,0.123939,0.123939,-0.069449,33.825206
0,2.231933,0.155496,0.900516,0.117038,0.117038,-0.058353,34.412026
0,2.327731,0.144407,0.912710,0.110452,0.110452,-0.080446,35.037236
0,2.423529,0.134154,0.923983,0.104175,0.104175,-0.063246,36.032213
0,2.519328,0.124669,0.934411,0.098201,0.098201,-0.131216,38.556565
0,2.615126,0.115892,0.944061,0.092523,0.092523,-0.116945,39.631350
0,2.710924,0.107765,0.952997,0.087132,0.087132,-0.125008,41.321110
0,2.806723,0.100236,0.961274,0.082020,0.082020,-0.123157,42.016174
0,2.902521,0.093259,0.968945,0.077176,0.077176,-0.149433,43.180683
0,2.998319,0.086791,0.976058,0.072590,0.072590,-0.107148,46.783451
0,3.094118,0.080790,0.982655,0.068253,0.068253,-0.144105,47.414482
0,3.189916,0.075223,0.988776,0.064153,0.064153,-0.100793,48.315964
0,3.285714,0.070055,0.994458,0.060282,0.060282,-0.087746,49.055437
0,3.381513,0.065256,0.999734,0.056627,0.056627,-0.109237,49.477796
0,3.477311,0.060798,1.004635,0.053180,0.053180,-0.132518,51.434269
0,3.573109,0.056656,1.009189,0.049929,0.049929,-0.132123,52.108011
0,3.668908,0.052805,1.013422,0.046867,0.046867,-0.121706,53.479817
0,3.764706,0.049225,1.017358,0.043982,0.043982,-0.122582,54.189468
0,3.860504,0.045896,1.021019,0.041266,0.041266,-0.108273,55.470609
0,3.956303,0.042798,1.024424,0.038711,0.038711,-0.131924,56.282383
0,4.052101,0.039915,1.027594,0.036307,0.036307,-0.144717,57.720512
0,4.147899,0.037232,1.030543,0.034046,0.034046,-0.150615,58.443046
0,4.243697,0.034734,1.033290,0.031921,0.031921,-0.167814,59.974918
0,4.339496,0.032408,1.035847,0.029924,0.029924,-0.120826,62.746547
0,4.435294,0.030241,1.038229,0.028048,0.028048,-0.153475,63.700579
0,4.531092,0.028222,1.040449,0.026286,0.026286,-0.154377,63.889599
0,4.626891,0.026341,1.042517,0.024632,0.024632,-0.148770,64.705222
0,4.722689,0.024588,1.044444,0.023079,0.023079,-0.168347,65.849308
0,4.818487,0.022954,1.046241,0.021621,0.021621,-0.171580,66.995967
0,4.914286,0.021430,1.047916,0.020254,0.020254,-0.131082,68.417009
0,5.010084,0.020010,1.049478,0.018971,0.018971,-0.171271,69.527050
0,5.105882,0.018685,1.050934,0.017768,0.017768,-0.148280,70.424785
0,5.201681,0.017449,1.052293,0.016639,0.016639,-0.146277,70.930792
0,5.297479,0.016296,1.053560,0.015581,0.015581,-0.132551,71.582328
