# glass_quench_wait_v10 -- BLIND artifact (provenance below stripped by pose.py).
# Five settings (level 0..4) of one fluctuating quantity in ONE material at ONE
# temperature, measured at five successively longer waiting times after a quench;
# tau is the material's own clock (a lag). Columns: level,tau,C,chi. No times, no
# temperatures, no model parameters. Each level has its own settling window, so tau
# ranges differ (the older settings need the longest watching).
level,tau,C,chi
0,0,1,0
0,0.005,0.9750763,0.021978106
0,0.00703936,0.96662956,0.029817811
0,0.00991052,0.95547124,0.040244662
0,0.0139528,0.94096926,0.053865545
0,0.0196437,0.92257064,0.071203296
0,0.0276558,0.90002543,0.092471826
0,0.0389359,0.87372248,0.11723933
0,0.0548167,0.84505168,0.14406482
0,0.077175,0.81652804,0.17037276
0,0.108653,0.79125245,0.19299079
0,0.152969,0.77150305,0.20955678
0,0.215361,0.75719933,0.22005323
0,0.3032,0.74588059,0.2268272
0,0.426867,0.73462935,0.23266572
0,0.600975,0.72173418,0.23913231
0,0.846096,0.70651364,0.24674317
0,1.1912,0.68857062,0.25571469
0,1.67705,0.66751916,0.26624042
0,2.36107,0.64296532,0.27851734
0,3.32409,0.61452856,0.29273572
0,4.6799,0.58187519,0.30906241
0,6.5887,0.54476476,0.32761762
0,9.27604,0.50311059,0.3484447
0,13.0595,0.45705319,0.37147341
0,18.3861,0.40704133,0.39647933
0,25.8853,0.3539093,0.42304535
0,36.4432,0.29893067,0.45053467
0,51.3073,0.24382089,0.47808956
0,72.2342,0.19065636,0.50467182
0,101.696,0.1416835,0.52915825
0,143.176,0.099014183,0.55049291
0,201.573,0.064248163,0.56787592
0,283.789,0.038118912,0.58094054
0,399.539,0.020299605,0.5898502
0,562.5,0.0094882598,0.59525587
1,0,1,0
1,0.005,0.97693898,0.021046769
1,0.00718434,0.96831725,0.029225482
1,0.010323,0.9566972,0.040305455
1,0.0148327,0.94134895,0.054995468
1,0.0213127,0.92167498,0.073867465
1,0.0306236,0.89753345,0.097032294
1,0.044002,0.86970686,0.12366997
1,0.0632252,0.84033687,0.15159361
1,0.0908463,0.81284942,0.17732282
1,0.130534,0.79077044,0.19726635
1,0.18756,0.77558998,0.20985608
1,0.2695,0.76552679,0.21678041
1,0.387236,0.75710754,0.22140293
1,0.556407,0.7478573,0.22606988
1,0.799484,0.7368158,0.23159209
1,1.14875,0.72356247,0.23821877
1,1.65061,0.70770791,0.24614604
1,2.37171,0.68882563,0.25558719
1,3.40783,0.66645902,0.26677049
1,4.89661,0.64013986,0.27993007
1,7.03579,0.60941875,0.29529063
1,10.1095,0.57391104,0.31304448
1,14.526,0.5333614,0.3333193
1,20.872,0.48772823,0.35613588
1,29.9903,0.43728505,0.38135748
1,43.0922,0.38272884,0.40863558
1,61.9178,0.3252744,0.4373628
1,88.9677,0.26670055,0.46664973
1,127.835,0.20930278,0.49534861
1,183.682,0.15570638,0.52214681
1,263.927,0.10851642,0.54574179
1,379.229,0.069837602,0.5650812
1,544.902,0.0407808,0.5796096
1,782.952,0.021148454,0.58942577
1,1125,0.0094882598,0.59525587
2,0,1,0
2,0.005,0.97821373,0.020409392
2,0.00733231,0.96932208,0.028979018
2,0.0107526,0.95710793,0.040796021
2,0.0157682,0.94073312,0.056681152
2,0.0231235,0.91956652,0.077244125
2,0.0339098,0.89364005,0.10242676
2,0.0497274,0.86427924,0.13087132
2,0.0729234,0.83456346,0.15945902
2,0.106939,0.80882839,0.18380605
2,0.156823,0.79054294,0.20038486
2,0.229974,0.77967419,0.2091572
2,0.337249,0.77275362,0.21350551
2,0.494563,0.76622499,0.21688244
2,0.725258,0.75850506,0.22074742
2,1.06356,0.7490949,0.22545255
2,1.55968,0.73764014,0.23117993
2,2.28721,0.72374187,0.23812906
2,3.3541,0.70694671,0.24652665
2,4.91866,0.68675159,0.25662421
2,7.21304,0.66261692,0.26869154
2,10.5776,0.63399198,0.28300401
2,15.5117,0.60035742,0.29982129
2,22.7474,0.56129,0.319355
2,33.3582,0.51655376,0.34172312
2,48.9185,0.46621821,0.3668909
2,71.7371,0.41079661,0.3946017
2,105.2,0.3513843,0.42430785
2,154.272,0.28975867,0.45512067
2,226.233,0.22838213,0.48580894
2,331.763,0.17023893,0.51488053
2,486.518,0.11845351,0.54077324
2,713.46,0.075704123,0.56214794
2,1046.26,0.043563313,0.57821834
2,1534.3,0.022022737,0.58898863
2,2250,0.0094882598,0.59525587
3,0,1,0
3,0.005,0.97908559,0.019973464
3,0.00748333,0.96985052,0.028975237
3,0.0112,0.95693236,0.041602369
3,0.0167627,0.93937472,0.05879702
3,0.0250882,0.91653055,0.081188531
3,0.0375486,0.888691,0.10846375
3,0.0561977,0.85790126,0.13855016
3,0.0841092,0.82834387,0.16723132
3,0.125883,0.80509777,0.18938636
3,0.188405,0.7908719,0.20225447
3,0.28198,0.78358695,0.2078511
3,0.422029,0.77872453,0.21061614
3,0.631637,0.77347723,0.21326106
3,0.945349,0.76702827,0.21648586
3,1.41487,0.75905424,0.22047288
3,2.11759,0.74921649,0.22539176
3,3.16932,0.73711476,0.23144262
3,4.74342,0.72228213,0.23885894
3,7.09931,0.7041847,0.24790765
3,10.6253,0.68222868,0.25888566
3,15.9025,0.65577916,0.27211042
3,23.8007,0.62419655,0.28790172
3,35.6217,0.58689785,0.30655107
3,53.3138,0.54344986,0.32827507
3,79.793,0.49369929,0.35315035
3,119.423,0.43793757,0.38103121
3,178.737,0.3770838,0.4114581
3,267.509,0.3128459,0.44357705
3,400.372,0.24779023,0.47610488
3,599.223,0.18522455,0.50738773
3,896.837,0.12880463,0.53559768
3,1342.26,0.081844782,0.55907761
3,2008.92,0.046467616,0.57676619
3,3006.68,0.022922807,0.5885386
3,4500,0.0094882598,0.59525587
4,0,1,0
4,0.005,0.97968163,0.019675442
4,0.00763745,0.97004613,0.029142428
4,0.0116661,0.95633144,0.042644492
4,0.0178199,0.93745406,0.061253613
4,0.0272198,0.91277708,0.085592212
4,0.0415779,0.88295908,0.11498345
4,0.0635099,0.8509641,0.14644036
4,0.0970108,0.82218708,0.17453918
4,0.148183,0.8020694,0.19380235
4,0.226348,0.79175405,0.20304163
4,0.345745,0.78708148,0.20635997
4,0.528122,0.78348225,0.20825629
4,0.806702,0.77919871,0.21040064
4,1.23223,0.7738311,0.21308445
4,1.88222,0.76710797,0.21644602
4,2.87507,0.7587042,0.2206479
4,4.39165,0.74822684,0.22588658
4,6.7082,0.73520685,0.23239658
4,10.2467,0.71909378,0.24045311
4,15.6518,0.69925635,0.25037183
4,23.9079,0.67499365,0.26250317
4,36.5192,0.64556354,0.27721823
4,55.7827,0.61023701,0.2948815
4,85.2075,0.56838884,0.31580558
4,130.154,0.51963392,0.34018304
4,198.809,0.46401335,0.36799333
4,303.678,0.40221964,0.39889018
4,463.866,0.33582361,0.43208819
4,708.551,0.26742475,0.46628763
4,1082.3,0.20060446,0.49969777
4,1653.21,0.13954659,0.5302267
4,2525.26,0.088255554,0.55587222
4,3857.32,0.049494655,0.57525267
4,5892.02,0.023849009,0.5880755
4,9000,0.0094882598,0.59525587
