# glass_two_step_v4 — one material, one observation (waiting-time) window.
# columns: tau (the material's own lag/clock), C (normalized
#          autocorrelation of the slow observable, C(0)=1), chi
#          (integrated step-response / susceptibility to a small field).
# All columns dimensionless. One operating point.
# Generated by the material's own relaxation-mode correlator — not via conform.
tau,C,chi
0.001000,0.943768,0.055306
0.001060,0.940755,0.058267
0.001123,0.937600,0.061366
0.001190,0.934300,0.064608
0.001260,0.930851,0.067997
0.001335,0.927247,0.071536
0.001415,0.923487,0.075228
0.001499,0.919566,0.079078
0.001589,0.915481,0.083088
0.001683,0.911231,0.087259
0.001783,0.906812,0.091595
0.001890,0.902224,0.096096
0.002002,0.897465,0.100764
0.002121,0.892536,0.105597
0.002248,0.887437,0.110595
0.002382,0.882170,0.115757
0.002524,0.876738,0.121079
0.002674,0.871144,0.126557
0.002833,0.865393,0.132187
0.003002,0.859491,0.137963
0.003181,0.853445,0.143876
0.003370,0.847265,0.149919
0.003571,0.840960,0.156079
0.003783,0.834543,0.162346
0.004009,0.828026,0.168707
0.004248,0.821424,0.175145
0.004501,0.814754,0.181645
0.004769,0.808033,0.188188
0.005053,0.801281,0.194755
0.005354,0.794519,0.201326
0.005672,0.787768,0.207878
0.006010,0.781050,0.214388
0.006368,0.774391,0.220833
0.006748,0.767813,0.227188
0.007149,0.761342,0.233428
0.007575,0.755002,0.239529
0.008026,0.748817,0.245467
0.008504,0.742810,0.251217
0.009011,0.737004,0.256758
0.009548,0.731419,0.262069
0.010116,0.726072,0.267131
0.010719,0.720981,0.271928
0.011357,0.716159,0.276447
0.012034,0.711614,0.280677
0.012751,0.707355,0.284612
0.013510,0.703383,0.288248
0.014315,0.699698,0.291586
0.015167,0.696295,0.294630
0.016071,0.693165,0.297389
0.017028,0.690297,0.299873
0.018042,0.687677,0.302097
0.019116,0.685285,0.304079
0.020255,0.683101,0.305839
0.021461,0.681105,0.307396
0.022740,0.679273,0.308775
0.024094,0.677581,0.309998
0.025529,0.676007,0.311087
0.027050,0.674527,0.312066
0.028661,0.673121,0.312954
0.030368,0.671767,0.313771
0.032176,0.670449,0.314535
0.034093,0.669150,0.315261
0.036123,0.667856,0.315963
0.038275,0.666556,0.316651
0.040555,0.665239,0.317335
0.042970,0.663898,0.318023
0.045529,0.662525,0.318721
0.048241,0.661117,0.319432
0.051114,0.659668,0.320161
0.054159,0.658175,0.320910
0.057384,0.656635,0.321681
0.060802,0.655046,0.322476
0.064424,0.653406,0.323296
0.068261,0.651713,0.324143
0.072326,0.649965,0.325017
0.076634,0.648161,0.325920
0.081198,0.646297,0.326851
0.086035,0.644374,0.327813
0.091159,0.642388,0.328806
0.096588,0.640339,0.329831
0.102341,0.638224,0.330888
0.108437,0.636041,0.331980
0.114895,0.633789,0.333105
0.121738,0.631466,0.334267
0.128989,0.629070,0.335465
0.136672,0.626599,0.336701
0.144812,0.624050,0.337975
0.153437,0.621423,0.339288
0.162576,0.618715,0.340642
0.172259,0.615924,0.342038
0.182518,0.613048,0.343476
0.193389,0.610084,0.344958
0.204907,0.607030,0.346485
0.217112,0.603885,0.348057
0.230043,0.600646,0.349677
0.243744,0.597311,0.351345
0.258262,0.593877,0.353061
0.273644,0.590343,0.354828
0.289942,0.586706,0.356647
0.307211,0.582964,0.358518
0.325509,0.579115,0.360442
0.344896,0.575157,0.362422
0.365438,0.571087,0.364456
0.387204,0.566905,0.366548
0.410266,0.562606,0.368697
0.434701,0.558191,0.370905
0.460592,0.553655,0.373172
0.488025,0.548999,0.375500
0.517092,0.544219,0.377890
0.547890,0.539315,0.380343
0.580523,0.534284,0.382858
0.615099,0.529124,0.385438
0.651734,0.523835,0.388083
0.690551,0.518414,0.390793
0.731681,0.512861,0.393569
0.775260,0.507175,0.396412
0.821434,0.501354,0.399323
0.870359,0.495398,0.402301
0.922198,0.489306,0.405347
0.977124,0.483078,0.408461
1.035322,0.476713,0.411643
1.096986,0.470212,0.414894
1.162322,0.463575,0.418213
1.231551,0.456802,0.421599
1.304902,0.449894,0.425053
1.382622,0.442852,0.428574
1.464971,0.435677,0.432161
1.552225,0.428372,0.435814
1.644676,0.420937,0.439531
1.742633,0.413376,0.443312
1.846425,0.405690,0.447155
1.956398,0.397884,0.451058
2.072922,0.389960,0.455020
2.196385,0.381923,0.459039
2.327202,0.373776,0.463112
2.465811,0.365524,0.467238
2.612675,0.357173,0.471413
2.768287,0.348728,0.475636
2.933166,0.340195,0.479902
3.107866,0.331581,0.484210
3.292971,0.322892,0.488554
3.489101,0.314135,0.492932
3.696913,0.305320,0.497340
3.917101,0.296454,0.501773
4.150405,0.287546,0.506227
4.397604,0.278605,0.510698
4.659526,0.269641,0.515180
4.937048,0.260664,0.519668
5.231099,0.251685,0.524158
5.542665,0.242714,0.528643
5.872787,0.233764,0.533118
6.222571,0.224845,0.537578
6.593188,0.215969,0.542016
6.985880,0.207148,0.546426
7.401960,0.198396,0.550802
7.842822,0.189724,0.555138
8.309942,0.181144,0.559428
8.804884,0.172670,0.563665
9.329304,0.164315,0.567843
9.884959,0.156089,0.571955
10.473709,0.148007,0.575996
11.097525,0.140080,0.579960
11.758496,0.132320,0.583840
12.458834,0.124739,0.587631
13.200884,0.117347,0.591326
13.987131,0.110155,0.594922
14.820207,0.103174,0.598413
15.702901,0.096411,0.601794
16.638169,0.089876,0.605062
17.629141,0.083577,0.608211
18.679136,0.077520,0.611240
19.791669,0.071711,0.614144
20.970464,0.066156,0.616922
22.219469,0.060857,0.619572
23.542864,0.055817,0.622091
24.945081,0.051039,0.624480
26.430815,0.046523,0.626739
28.005039,0.042268,0.628866
29.673024,0.038272,0.630864
31.440355,0.034532,0.632734
33.312948,0.031045,0.634478
35.297073,0.027805,0.636097
37.399373,0.024807,0.637597
39.626886,0.022043,0.638979
41.987071,0.019505,0.640247
44.487828,0.017185,0.641407
47.137531,0.015074,0.642463
49.945051,0.013160,0.643420
52.919787,0.011435,0.644282
56.071699,0.009887,0.645057
59.411340,0.008504,0.645748
62.949890,0.007276,0.646362
66.699197,0.006191,0.646904
70.671813,0.005238,0.647381
74.881039,0.004406,0.647797
79.340967,0.003683,0.648158
84.066529,0.003059,0.648470
89.073546,0.002525,0.648738
94.378783,0.002070,0.648965
100.000000,0.001685,0.649158
