tau,C,chi
0.314159,1.000000,0.000000
2.438728,0.549838,1.861900
4.563296,0.060785,3.021358
6.687865,-0.280497,3.310920
8.812434,-0.404299,2.929173
10.937002,-0.342061,2.243702
13.061571,-0.180228,1.602407
15.186139,-0.010589,1.217111
17.310708,0.104075,1.135645
19.435277,0.142187,1.281684
21.559845,0.116751,1.524750
23.684414,0.058772,1.745174
25.808982,0.000050,1.872731
27.933551,-0.038362,1.894395
30.058120,-0.049890,1.839151
32.182688,-0.039760,1.753187
34.307257,-0.019055,1.677582
36.431825,0.001231,1.635525
38.556394,0.014058,1.630297
40.680962,0.017466,1.651001
42.805531,0.013509,1.681327
44.930100,0.006137,1.707204
47.054668,-0.000856,1.721009
49.179237,-0.005125,1.722030
51.303805,-0.006101,1.714333
53.428374,-0.004579,1.703660
55.552943,-0.001962,1.694822
57.677511,0.000444,1.690314
59.802080,0.001860,1.690233
61.926648,0.002127,1.693075
64.051217,0.001548,1.696822
66.175786,0.000622,1.699834
68.300354,-0.000204,1.701298
70.424923,-0.000672,1.701232
72.549491,-0.000740,1.700189
74.674060,-0.000522,1.698876
76.798629,-0.000195,1.697852
78.923197,0.000088,1.697380
81.047766,0.000242,1.697435
83.172334,0.000257,1.697816
85.296903,0.000176,1.698275
87.421472,0.000060,1.698622
89.546040,-0.000036,1.698774
91.670609,-0.000087,1.698743
93.795177,-0.000089,1.698605
95.919746,-0.000059,1.698445
98.044314,-0.000018,1.698327
100.168883,0.000015,1.698279
102.293452,0.000031,1.698294
104.418020,0.000031,1.698344
106.542589,0.000020,1.698399
108.667157,0.000005,1.698439
110.791726,-0.000006,1.698454
112.916295,-0.000011,1.698448
115.040863,-0.000011,1.698430
117.165432,-0.000007,1.698410
119.290000,-0.000002,1.698397
121.414569,0.000002,1.698392
123.539138,0.000004,1.698395
125.663706,0.000004,1.698402
