curve,tau,C,chi
1,1.797464,1.000000,0.000000
1,10.875797,0.915023,8.881008
1,19.954129,0.832019,17.272101
1,29.032461,0.754251,25.017685
1,38.110793,0.682744,32.090150
1,47.189126,0.617572,38.514532
1,56.267458,0.558424,44.335568
1,65.345790,0.504855,49.603475
1,74.424122,0.456386,54.367968
1,83.502455,0.412553,58.675898
1,92.580787,0.372923,62.570461
1,101.659119,0.337096,66.091075
1,110.737452,0.304710,69.273539
1,119.815784,0.275435,72.150282
1,128.894116,0.248972,74.750653
1,137.972448,0.225051,77.101193
1,147.050781,0.203429,79.225901
1,156.129113,0.183883,81.146473
1,165.207445,0.166216,82.882519
1,174.285777,0.150246,84.451770
1,183.364110,0.135811,85.870249
1,192.442442,0.122763,87.152444
1,201.520774,0.110968,88.311447
1,210.599107,0.100306,89.359095
1,219.677439,0.090669,90.306086
1,228.755771,0.081958,91.162092
1,237.834103,0.074083,91.935855
1,246.912436,0.066965,92.635275
1,255.990768,0.060531,93.267497
1,265.069100,0.054716,93.838975
1,274.147433,0.049459,94.355547
1,283.225765,0.044707,94.822488
1,292.304097,0.040411,95.244565
1,301.382429,0.036529,95.626090
1,310.460762,0.033019,95.970959
1,319.539094,0.029847,96.282693
1,328.617426,0.026979,96.564476
1,337.695758,0.024387,96.819186
1,346.774091,0.022044,97.049424
1,355.852423,0.019926,97.257541
1,364.930755,0.018012,97.445663
1,374.009088,0.016281,97.615710
1,383.087420,0.014717,97.769419
1,392.165752,0.013303,97.908360
1,401.244084,0.012025,98.033952
1,410.322417,0.010869,98.147477
1,419.400749,0.009825,98.250095
1,428.479081,0.008881,98.342853
1,437.557413,0.008028,98.426699
1,446.635746,0.007256,98.502490
1,455.714078,0.006559,98.570999
1,464.792410,0.005929,98.632925
1,473.870743,0.005359,98.688902
1,482.949075,0.004845,98.739501
1,492.027407,0.004379,98.785238
1,501.105739,0.003958,98.826580
1,510.184072,0.003578,98.863951
1,519.262404,0.003234,98.897731
1,528.340736,0.002924,98.928266
1,537.419068,0.002643,98.955867
1,546.497401,0.002389,98.980816
1,555.575733,0.002159,99.003368
1,564.654065,0.001952,99.023753
1,573.732398,0.001764,99.042179
1,582.810730,0.001595,99.058836
1,591.889062,0.001442,99.073892
1,600.967394,0.001303,99.087501
1,610.045727,0.001178,99.099803
1,619.124059,0.001065,99.110923
1,628.202391,0.000962,99.120974
1,637.280723,0.000870,99.130060
1,646.359056,0.000786,99.138273
1,655.437388,0.000711,99.145696
1,664.515720,0.000642,99.152407
1,673.594053,0.000581,99.158473
1,682.672385,0.000525,99.163956
1,691.750717,0.000475,99.168912
1,700.829049,0.000429,99.173392
1,709.907382,0.000388,99.177441
1,718.985714,0.000350,99.181102
2,2.617994,1.000000,0.000000
2,15.840520,0.574673,11.232675
2,29.063046,0.260839,18.490975
2,42.285572,0.087859,22.138783
2,55.508098,0.012587,23.564268
2,68.730624,-0.010961,23.916188
2,81.953150,-0.012979,23.870366
2,95.175676,-0.008829,23.740444
2,108.398202,-0.004611,23.635903
2,121.620728,-0.001889,23.575310
2,134.843254,-0.000523,23.547580
2,148.065780,0.000010,23.538113
2,161.288306,0.000141,23.536661
2,174.510832,0.000124,23.537758
2,187.733358,0.000075,23.539104
2,200.955885,0.000036,23.540031
2,214.178411,0.000013,23.540518
2,227.400937,0.000003,23.540720
2,240.623463,-0.000001,23.540777
2,253.845989,-0.000002,23.540777
2,267.068515,-0.000001,23.540762
2,280.291041,-0.000001,23.540749
2,293.513567,-0.000000,23.540742
2,306.736093,-0.000000,23.540738
2,319.958619,-0.000000,23.540736
2,333.181145,0.000000,23.540736
2,346.403671,0.000000,23.540736
2,359.626197,0.000000,23.540736
2,372.848723,0.000000,23.540737
2,386.071249,0.000000,23.540737
2,399.293775,0.000000,23.540737
2,412.516301,-0.000000,23.540737
2,425.738827,-0.000000,23.540737
2,438.961353,-0.000000,23.540737
2,452.183879,-0.000000,23.540737
2,465.406405,-0.000000,23.540737
2,478.628931,-0.000000,23.540737
2,491.851457,-0.000000,23.540737
2,505.073983,0.000000,23.540737
2,518.296510,0.000000,23.540737
2,531.519036,0.000000,23.540737
2,544.741562,0.000000,23.540737
2,557.964088,0.000000,23.540737
2,571.186614,0.000000,23.540737
2,584.409140,-0.000000,23.540737
2,597.631666,-0.000000,23.540737
2,610.854192,-0.000000,23.540737
2,624.076718,-0.000000,23.540737
2,637.299244,-0.000000,23.540737
2,650.521770,-0.000000,23.540737
2,663.744296,-0.000000,23.540737
2,676.966822,0.000000,23.540737
2,690.189348,0.000000,23.540737
2,703.411874,0.000000,23.540737
2,716.634400,0.000000,23.540737
2,729.856926,0.000000,23.540737
2,743.079452,0.000000,23.540737
2,756.301978,0.000000,23.540737
2,769.524504,-0.000000,23.540737
2,782.747030,-0.000000,23.540737
2,795.969556,-0.000000,23.540737
2,809.192082,-0.000000,23.540737
2,822.414608,-0.000000,23.540737
2,835.637135,-0.000000,23.540737
2,848.859661,0.000000,23.540737
2,862.082187,0.000000,23.540737
2,875.304713,0.000000,23.540737
2,888.527239,0.000000,23.540737
2,901.749765,0.000000,23.540737
2,914.972291,0.000000,23.540737
2,928.194817,0.000000,23.540737
2,941.417343,-0.000000,23.540737
2,954.639869,-0.000000,23.540737
2,967.862395,-0.000000,23.540737
2,981.084921,-0.000000,23.540737
2,994.307447,-0.000000,23.540737
2,1007.529973,-0.000000,23.540737
2,1020.752499,0.000000,23.540737
2,1033.975025,0.000000,23.540737
2,1047.197551,0.000000,23.540737
3,0.314159,1.000000,0.000000
3,1.900862,0.677160,1.459776
3,3.487566,0.299058,2.571864
3,5.074269,-0.039405,3.195884
3,6.660972,-0.277511,3.332727
3,8.247675,-0.392248,3.085959
3,9.834378,-0.392926,2.612019
3,11.421081,-0.310416,2.072795
3,13.007784,-0.184768,1.599949
3,14.594487,-0.054254,1.275318
3,16.181191,0.052232,1.127176
3,17.767894,0.118728,1.138827
3,19.354597,0.142062,1.264360
3,20.941300,0.129042,1.446289
3,22.528003,0.092302,1.630848
3,24.114706,0.046054,1.778335
3,25.701409,0.002653,1.867674
3,27.288112,-0.029507,1.895804
3,28.874816,-0.046689,1.873427
3,30.461519,-0.049336,1.819003
3,32.048222,-0.040841,1.752744
3,33.634925,-0.026029,1.691864
3,35.221628,-0.009746,1.647761
3,36.808331,0.004168,1.625191
3,38.395034,0.013419,1.623065
3,39.981737,0.017319,1.636274
3,41.568441,0.016500,1.657857
3,43.155144,0.012418,1.680978
3,44.741847,0.006823,1.700335
3,46.328550,0.001308,1.712862
3,47.915253,-0.002984,1.717770
3,49.501956,-0.005478,1.716094
3,51.088659,-0.006137,1.709978
3,52.675362,-0.005320,1.701922
3,54.262066,-0.003602,1.694155
3,55.848769,-0.001590,1.688239
3,57.435472,0.000211,1.684920
3,59.022175,0.001478,1.684194
3,60.608878,0.002088,1.685509
3,62.195581,0.002091,1.688031
3,63.782284,0.001651,1.690901
3,65.368987,0.000983,1.693417
3,66.955691,0.000288,1.695143
3,68.542394,-0.000278,1.695931
3,70.129097,-0.000632,1.695868
3,71.715800,-0.000756,1.695200
3,73.302503,-0.000687,1.694232
3,74.889206,-0.000491,1.693250
3,76.475909,-0.000245,1.692465
3,78.062612,-0.000014,1.691990
3,79.649316,0.000157,1.691840
3,81.236019,0.000248,1.691960
3,82.822722,0.000263,1.692249
3,84.409425,0.000217,1.692602
3,85.996128,0.000138,1.692926
3,87.582831,0.000052,1.693160
3,89.169534,-0.000022,1.693281
3,90.756237,-0.000071,1.693292
3,92.342941,-0.000092,1.693221
3,93.929644,-0.000088,1.693107
3,95.516347,-0.000066,1.692983
3,97.103050,-0.000036,1.692880
3,98.689753,-0.000007,1.692814
3,100.276456,0.000016,1.692788
3,101.863159,0.000029,1.692797
3,103.449862,0.000033,1.692829
3,105.036566,0.000028,1.692872
3,106.623269,0.000019,1.692913
3,108.209972,0.000008,1.692945
3,109.796675,-0.000001,1.692963
3,111.383378,-0.000008,1.692966
3,112.970081,-0.000011,1.692959
3,114.556784,-0.000011,1.692946
3,116.143487,-0.000009,1.692931
3,117.730191,-0.000005,1.692917
3,119.316894,-0.000002,1.692908
3,120.903597,0.000001,1.692904
3,122.490300,0.000003,1.692904
3,124.077003,0.000004,1.692908
3,125.663706,0.000004,1.692913
4,0.109561,1.000000,0.000000
4,0.662912,0.645492,0.501385
4,1.216264,0.308506,0.875146
4,1.769615,0.061195,1.093752
4,2.322967,-0.080762,1.180166
4,2.876318,-0.134508,1.177849
4,3.429670,-0.129982,1.130409
4,3.983021,-0.096542,1.071095
4,4.536373,-0.056221,1.019865
4,5.089724,-0.022009,0.985059
4,5.643076,0.000870,0.967037
4,6.196427,0.012440,0.961969
4,6.749779,0.015418,0.964782
4,7.303130,0.013261,0.970979
4,7.856481,0.008977,0.977435
4,8.409833,0.004623,0.982479
4,8.963184,0.001275,0.985588
4,9.516536,-0.000754,0.986958
4,10.069887,-0.001617,0.987105
4,10.623239,-0.001675,0.986586
4,11.176590,-0.001304,0.985849
4,11.729942,-0.000801,0.985177
4,12.283293,-0.000350,0.984698
4,12.836645,-0.000034,0.984434
4,13.389996,0.000136,0.984343
4,13.943348,0.000192,0.984363
4,14.496699,0.000174,0.984436
4,15.050051,0.000124,0.984518
4,15.603402,0.000068,0.984586
4,16.156754,0.000023,0.984630
4,16.710105,-0.000006,0.984651
4,17.263457,-0.000019,0.984655
4,17.816808,-0.000021,0.984650
4,18.370159,-0.000017,0.984641
4,18.923511,-0.000011,0.984632
4,19.476862,-0.000005,0.984625
4,20.030214,-0.000001,0.984621
4,20.583565,0.000001,0.984620
4,21.136917,0.000002,0.984620
4,21.690268,0.000002,0.984621
4,22.243620,0.000002,0.984622
4,22.796971,0.000001,0.984623
4,23.350323,0.000000,0.984623
4,23.903674,-0.000000,0.984624
4,24.457026,-0.000000,0.984624
4,25.010377,-0.000000,0.984624
4,25.563729,-0.000000,0.984624
4,26.117080,-0.000000,0.984623
4,26.670432,-0.000000,0.984623
4,27.223783,-0.000000,0.984623
4,27.777135,0.000000,0.984623
4,28.330486,0.000000,0.984623
4,28.883838,0.000000,0.984623
4,29.437189,0.000000,0.984623
4,29.990540,0.000000,0.984623
4,30.543892,0.000000,0.984623
4,31.097243,0.000000,0.984623
4,31.650595,-0.000000,0.984623
4,32.203946,-0.000000,0.984623
4,32.757298,-0.000000,0.984623
4,33.310649,-0.000000,0.984623
4,33.864001,-0.000000,0.984623
4,34.417352,-0.000000,0.984623
4,34.970704,0.000000,0.984623
4,35.524055,0.000000,0.984623
4,36.077407,0.000000,0.984623
4,36.630758,0.000000,0.984623
4,37.184110,0.000000,0.984623
4,37.737461,0.000000,0.984623
4,38.290813,0.000000,0.984623
4,38.844164,-0.000000,0.984623
4,39.397516,-0.000000,0.984623
4,39.950867,-0.000000,0.984623
4,40.504218,-0.000000,0.984623
4,41.057570,-0.000000,0.984623
4,41.610921,-0.000000,0.984623
4,42.164273,0.000000,0.984623
4,42.717624,0.000000,0.984623
4,43.270976,0.000000,0.984623
4,43.824327,0.000000,0.984623
