# magnet_temp_sweep_v8 -- BLIND artifact (provenance below stripped by pose.py).
# Five settings (level 0..4) of one fluctuating quantity in one material; tau is the
# material's own clock (a lag). Columns: level,tau,C,chi. No control values, no model
# parameters. Each level has its own settling window, so tau ranges differ.
level,tau,C,chi
0,0,1.3654774,0
0,0.2,1.3384391,0.027038264
0,0.24772,1.3320673,0.033410053
0,0.306825,1.3242173,0.041260107
0,0.380034,1.3145583,0.05091907
0,0.470709,1.3026924,0.062785035
0,0.58302,1.2881436,0.077333821
0,0.722128,1.2703485,0.095128871
0,0.894427,1.248648,0.11682937
0,1.10784,1.222283,0.14319436
0,1.37217,1.1903979,0.17507954
0,1.69956,1.1520556,0.21342176
0,2.10508,1.1062727,0.25920466
0,2.60735,1.0520804,0.31339696
0,3.22946,0.98862379,0.37685361
0,4,0.91530687,0.45017053
0,4.9544,0.83198949,0.53348792
0,6.13651,0.7392295,0.6262479
0,7.60067,0.63854487,0.72693253
0,9.41419,0.53263726,0.83284014
0,11.6604,0.42548049,0.93999691
0,14.4426,0.32214543,1.043332
0,17.8885,0.22824167,1.1372357
0,22.1567,0.14894635,1.216531
0,27.4433,0.087788355,1.277689
0,33.9912,0.045610339,1.3198671
0,42.1015,0.020269286,1.3452081
0,52.1469,0.0074228912,1.3580545
0,64.5891,0.0021390222,1.3633384
0,80,0.00045806664,1.3650193
1,0,3.4886992,0
1,0.2,3.4669629,0.021736373
1,0.258227,3.4606601,0.02803911
1,0.333406,3.4525394,0.036159852
1,0.430472,3.4420826,0.046616649
1,0.555798,3.4286283,0.060070961
1,0.717611,3.4113347,0.077364544
1,0.926533,3.3891353,0.099563949
1,1.19628,3.3606864,0.12801285
1,1.54456,3.3243079,0.1643913
1,1.99423,3.2779203,0.21077899
1,2.57483,3.2189836,0.26971566
1,3.32445,3.144453,0.34424628
1,4.29231,3.0507705,0.43792879
1,5.54196,2.9339299,0.55476936
1,7.15542,2.7896668,0.69903245
1,9.23861,2.613845,0.87485427
1,11.9283,2.4031241,1.0855752
1,15.4011,2.1559817,1.3327176
1,19.8848,1.8740984,1.6146009
1,25.674,1.5639517,1.9247475
1,33.1486,1.2381694,2.2505298
1,42.7994,0.91580515,2.5728941
1,55.2598,0.6204318,2.8682674
1,71.3479,0.37527652,3.1134227
1,92.1198,0.19608369,3.2926156
1,118.939,0.084812054,3.4038872
1,153.566,0.028741214,3.459958
1,198.275,0.0071077612,3.4815915
1,256,0.0011703282,3.4875289
2,0,5,0
2,0.2,4.9800399,0.019960053
2,0.262376,4.9738311,0.026168868
2,0.344206,4.9656977,0.034302348
2,0.451556,4.9550477,0.044952326
2,0.592387,4.9411108,0.058889185
2,0.777141,4.9228868,0.077113236
2,1.01951,4.8990809,0.10091911
2,1.33748,4.8680249,0.13197505
2,1.75461,4.8275816,0.17241836
2,2.30184,4.775034,0.22496602
2,3.01974,4.7069642,0.29303583
2,3.96153,4.6191341,0.38086589
2,5.19705,4.5063921,0.4936079
2,6.81791,4.3626505,0.63734955
2,8.94427,4.1810085,0.81899155
2,11.7338,3.9541347,1.0458653
2,15.3933,3.6750661,1.3249339
2,20.1942,3.3386075,1.6613925
2,26.4924,2.9434744,2.0565256
2,34.7548,2.4951333,2.5048667
2,45.5941,2.0088373,2.9911627
2,59.814,1.5115852,3.4884148
2,78.4687,1.0408774,3.9591226
2,102.941,0.63801632,4.3619837
2,135.047,0.33571323,4.6642868
2,177.165,0.14458838,4.8554116
2,232.419,0.047885262,4.9521147
2,304.906,0.011235427,4.9887646
2,400,0.0016773131,4.9983227
3,0,2.8589323,0
3,0.2,2.8361521,0.022780216
3,0.25596,2.8298107,0.02912161
3,0.327579,2.8217157,0.037216658
3,0.419236,2.8113894,0.047542946
3,0.536539,2.7982289,0.060703441
3,0.686664,2.7814759,0.077456437
3,0.878794,2.7601816,0.098750717
3,1.12468,2.7331668,0.12576553
3,1.43937,2.6989786,0.15995377
3,1.84211,2.6558475,0.20308482
3,2.35754,2.6016523,0.25728001
3,3.01718,2.5339035,0.32502886
3,3.8614,2.4497658,0.40916654
3,4.94182,2.3461492,0.51278313
3,6.32456,2.2199086,0.63902372
3,8.09418,2.0682049,0.7907274
3,10.3589,1.8890806,0.96985171
3,13.2574,1.6822833,1.176649
3,16.9669,1.4503051,1.4086273
3,21.7142,1.1994695,1.6594629
3,27.7899,0.94068387,1.9182485
3,35.5656,0.68923342,2.1696989
3,45.5169,0.46290729,2.3960251
3,58.2527,0.27813244,2.5807999
3,74.5519,0.14491227,2.7140201
3,95.4117,0.062912028,2.7960203
3,122.108,0.021625684,2.8373067
3,156.274,0.0055137095,2.8534186
3,200,0.00095906496,2.8579733
4,0,1.0119266,0
