# melt_cooling_sweep_v9 -- BLIND artifact (provenance below stripped by pose.py).
# Five settings (level 0..4) of one fluctuating quantity in one material cooled across
# its settings; tau is the material's own clock (a lag). Columns: level,tau,C,chi. No
# temperatures, no model parameters. Each level has its own settling window, so tau
# ranges differ (the slowest settings need the longest watching).
level,tau,C,chi
0,0,1,0
0,0.005,0.91754358,0.082456422
0,0.00632759,0.89882356,0.10117644
0,0.00800768,0.87604452,0.12395548
0,0.0101339,0.84850977,0.15149023
0,0.0128246,0.81551643,0.18448357
0,0.0162297,0.77642985,0.22357015
0,0.020539,0.73079896,0.26920104
0,0.0259925,0.67851787,0.32148213
0,0.032894,0.62002811,0.37997189
0,0.0416279,0.55653247,0.44346753
0,0.0526808,0.49015564,0.50984436
0,0.0666685,0.42394493,0.57605507
0,0.0843702,0.36158238,0.63841762
0,0.106772,0.3067248,0.6932752
0,0.135122,0.26205017,0.73794983
0,0.170999,0.22835098,0.77164902
0,0.216403,0.20420899,0.79579101
0,0.273861,0.1866221,0.8133779
0,0.346576,0.17233304,0.82766696
0,0.438599,0.15900471,0.84099529
0,0.555054,0.14553915,0.85446085
0,0.702431,0.13167628,0.86832372
0,0.888939,0.11750495,0.88249505
0,1.12497,0.10322118,0.89677882
0,1.42367,0.089063206,0.91093679
0,1.80168,0.075295398,0.9247046
0,2.28005,0.062194802,0.9378052
0,2.88545,0.050033498,0.9499665
0,3.65159,0.039057236,0.96094276
0,4.62115,0.029462478,0.97053752
0,5.84815,0.021375073,0.97862493
0,7.40093,0.014834591,0.98516541
0,9.36601,0.0097883291,0.99021167
0,11.8529,0.0060978042,0.9939022
0,15,0.0035580974,0.9964419
1,0,1,0
1,0.005,0.93121676,0.068783241
1,0.00653539,0.91297612,0.087023878
1,0.00854225,0.89016164,0.10983836
1,0.0111654,0.86189115,0.13810885
1,0.014594,0.82729921,0.17270079
1,0.0190755,0.78568008,0.21431992
1,0.0249332,0.73671123,0.26328877
1,0.0325896,0.68075807,0.31924193
1,0.0425971,0.61921869,0.38078131
1,0.0556777,0.55479064,0.44520936
1,0.072775,0.49144634,0.50855366
1,0.0951226,0.43385828,0.56614172
1,0.124333,0.38615861,0.61384139
1,0.162512,0.35036702,0.64963298
1,0.212416,0.32540364,0.67459636
1,0.277644,0.30765128,0.69234872
1,0.362903,0.29293878,0.70706122
1,0.474342,0.27839007,0.72160993
1,0.620001,0.2627831,0.7372169
1,0.810389,0.24583209,0.75416791
1,1.05924,0.22755631,0.77244369
1,1.38451,0.20807286,0.79192714
1,1.80966,0.1875743,0.8124257
1,2.36537,0.16633502,0.83366498
1,3.09172,0.14471458,0.85528542
1,4.04112,0.12315298,0.87684702
1,5.28205,0.10215483,0.89784517
1,6.90405,0.082260201,0.9177398
1,9.02412,0.064001951,0.93599805
1,11.7952,0.047852039,0.95214796
1,15.4173,0.034163851,0.96583615
1,20.1516,0.023121293,0.97687871
1,26.3397,0.014707928,0.98529207
1,34.428,0.0087079383,0.99129206
1,45,0.0047441299,0.99525587
2,0,1,0
2,0.005,0.94883081,0.049729086
2,0.00677096,0.93316042,0.065140484
2,0.00916917,0.91298705,0.085008785
2,0.0124168,0.8873476,0.1102891
2,0.0168147,0.85534059,0.14187359
2,0.0227704,0.81636157,0.18035589
2,0.0308354,0.77046822,0.22566584
2,0.0417571,0.71884411,0.27660545
2,0.0565471,0.66420801,0.33043948
2,0.0765756,0.61083494,0.38287408
2,0.103698,0.56374786,0.42886504
2,0.140427,0.52691653,0.46441882
2,0.190165,0.50120987,0.48864008
2,0.25752,0.48380506,0.50432287
2,0.348731,0.47008735,0.5160511
2,0.472248,0.45643526,0.527414
2,0.639515,0.44120868,0.54001916
2,0.866025,0.42390857,0.55433436
2,1.17276,0.40434236,0.57052442
2,1.58815,0.38238595,0.58869225
2,2.15065,0.35797637,0.60888995
2,2.9124,0.33113724,0.63109799
2,3.94394,0.30200872,0.65520039
2,5.34086,0.2708782,0.68095934
2,7.23254,0.23820718,0.70799298
2,9.79424,0.20464725,0.73576214
2,13.2633,0.17103658,0.76357329
2,17.961,0.1383669,0.79060581
2,24.3227,0.10771336,0.81597009
2,32.9375,0.080125241,0.83879788
2,44.6037,0.056487161,0.85835721
2,60.402,0.037374802,0.87417173
2,81.7958,0.022943358,0.88611303
2,110.767,0.012890709,0.89443109
2,150,0.0065231786,0.8996999
3,0,1,0
3,0.005,0.96471448,0.033491184
3,0.00705274,0.95206554,0.045768027
3,0.00994822,0.93522038,0.062164336
3,0.0140324,0.91319101,0.083652444
3,0.0197934,0.88513009,0.11106094
3,0.0279196,0.85070346,0.14470154
3,0.0393818,0.81064674,0.18381185
3,0.05555,0.76735897,0.22596091
3,0.0783559,0.72508474,0.26686629
3,0.110525,0.68897707,0.30133018
3,0.1559,0.66273827,0.3255976
3,0.219905,0.64615713,0.33981814
3,0.310186,0.63526778,0.3478861
3,0.437532,0.62560836,0.35418103
3,0.61716,0.61478095,0.36100728
3,0.870533,0.60200413,0.36904147
3,1.22793,0.58692165,0.37852489
3,1.73205,0.56920122,0.38966698
3,2.44314,0.54850244,0.40268175
3,3.44616,0.5244944,0.41777729
3,4.86098,0.49688386,0.43513798
3,6.85664,0.46545484,0.45489961
3,9.67162,0.43012049,0.47711679
3,13.6423,0.39098648,0.50172309
3,19.2431,0.34842166,0.52848658
3,27.1433,0.30312613,0.55696707
3,38.2869,0.25617998,0.5864854
3,54.0054,0.20904856,0.61612024
3,76.1772,0.16351572,0.64474993
3,107.452,0.12152125,0.6711548
3,151.566,0.084898052,0.69418238
3,213.79,0.055043311,0.71295415
3,301.561,0.032607446,0.72706116
3,425.367,0.01732094,0.73667286
3,600,0.0080650209,0.7424927
4,0,1,0
4,0.005,0.97821373,0.020409392
4,0.00733231,0.96932208,0.028979018
4,0.0107526,0.95710793,0.040796021
4,0.0157682,0.94073312,0.056681152
4,0.0231235,0.91956652,0.077244125
4,0.0339098,0.89364005,0.10242676
4,0.0497274,0.86427924,0.13087132
4,0.0729234,0.83456346,0.15945902
4,0.106939,0.80882839,0.18380605
4,0.156823,0.79054294,0.20038486
4,0.229974,0.77967419,0.2091572
4,0.337249,0.77275362,0.21350551
4,0.494563,0.76622499,0.21688244
4,0.725258,0.75850506,0.22074742
4,1.06356,0.7490949,0.22545255
4,1.55968,0.73764014,0.23117993
4,2.28721,0.72374187,0.23812906
4,3.3541,0.70694671,0.24652665
4,4.91866,0.68675159,0.25662421
4,7.21304,0.66261692,0.26869154
4,10.5776,0.63399198,0.28300401
4,15.5117,0.60035742,0.29982129
4,22.7474,0.56129,0.319355
4,33.3582,0.51655376,0.34172312
4,48.9185,0.46621821,0.3668909
4,71.7371,0.41079661,0.3946017
4,105.2,0.3513843,0.42430785
4,154.272,0.28975867,0.45512067
4,226.233,0.22838213,0.48580894
4,331.763,0.17023893,0.51488053
4,486.518,0.11845351,0.54077324
4,713.46,0.075704123,0.56214794
4,1046.26,0.043563313,0.57821834
4,1534.3,0.022022737,0.58898863
4,2250,0.0094882598,0.59525587
