# observation_window_sweep_v13 -- BLIND artifact (provenance below stripped by pose.py).
# ONE fluctuating signal, measured at FIVE observation-window lengths (level 0 shortest
# watching -> level 4 longest). tau is the signal's own clock (a lag). Columns: level,
# window_rel (relative observation-window length, normalized to the shortest run = 1.0x),
# tau, C (autocorrelation), chi (integrated step-response). No times, no model parameters.
# Sampling is fixed-fine; only the observation DURATION (max lag) differs across levels.
level,window_rel,tau,C,chi
0,1,0,1,0
0,1,0.05,0.98046177,0.019538229
0,1,0.0556882,0.97830017,0.021699825
0,1,0.0620236,0.97590707,0.024092928
0,1,0.0690797,0.97325948,0.026740523
0,1,0.0769385,0.97033255,0.029667449
0,1,0.0856914,0.96709956,0.032900437
0,1,0.0954401,0.96353187,0.036468126
0,1,0.106298,0.95959897,0.040401031
0,1,0.118391,0.95526853,0.044731472
0,1,0.131859,0.95050658,0.049493423
0,1,0.14686,0.94527771,0.05472229
0,1,0.163568,0.93954541,0.060454585
0,1,0.182176,0.93327252,0.06672748
0,1,0.202901,0.92642178,0.073578215
0,1,0.225984,0.91895666,0.08104334
0,1,0.251693,0.91084224,0.089157763
0,1,0.280327,0.90204642,0.097953583
0,1,0.312219,0.89254132,0.10745868
0,1,0.347738,0.88230495,0.11769505
0,1,0.387298,0.87132308,0.12867692
0,1,0.431359,0.85959144,0.14040856
0,1,0.480433,0.8471181,0.1528819
0,1,0.535089,0.83392591,0.16607409
0,1,0.595963,0.82005515,0.17994485
0,1,0.663763,0.80556595,0.19443405
0,1,0.739276,0.79054047,0.20945953
0,1,0.823379,0.77508455,0.22491545
0,1,0.917051,0.7593285,0.2406715
0,1,1.02138,0.74342677,0.25657323
0,1,1.13758,0.72755601,0.27244399
0,1,1.26699,0.71191142,0.28808858
0,1,1.41113,0.69670093,0.30329907
0,1,1.57167,0.68213721,0.31786279
0,1,1.75047,0.66842775,0.33157225
0,1,1.94961,0.65576328,0.34423672
0,1,2.17141,0.64430548,0.35569452
0,1,2.41843,0.63417506,0.36582494
0,1,2.69357,0.62544173,0.37455827
0,1,3,0.61811752,0.38188248
1,1.34596,0,1,0
1,1.34596,0.05,0.98046177,0.019538229
1,1.34596,0.0561253,0.97813457,0.021865425
1,1.34596,0.0630011,0.97553918,0.02446082
1,1.34596,0.0707192,0.97264698,0.027353024
1,1.34596,0.0793828,0.9694269,0.030573103
1,1.34596,0.0891077,0.96584536,0.03415464
1,1.34596,0.100024,0.96186627,0.038133733
1,1.34596,0.112278,0.95745106,0.042548936
1,1.34596,0.126032,0.95255889,0.047441113
1,1.34596,0.141472,0.94714682,0.052853183
1,1.34596,0.158804,0.94117028,0.05882972
1,1.34596,0.178258,0.93458361,0.065416394
1,1.34596,0.200096,0.92734081,0.072659193
1,1.34596,0.224609,0.91939659,0.080603411
1,1.34596,0.252125,0.91070766,0.089292338
1,1.34596,0.283012,0.90123437,0.098765632
1,1.34596,0.317683,0.89094267,0.10905733
1,1.34596,0.356602,0.87980652,0.12019348
1,1.34596,0.400288,0.86781065,0.13218935
1,1.34596,0.449326,0.85495363,0.14504637
1,1.34596,0.504372,0.84125138,0.15874862
1,1.34596,0.566161,0.8267407,0.1732593
1,1.34596,0.635519,0.81148291,0.18851709
1,1.34596,0.713375,0.7955672,0.2044328
1,1.34596,0.800768,0.77911325,0.22088675
1,1.34596,0.898868,0.76227296,0.23772704
1,1.34596,1.00899,0.74523034,0.25476966
1,1.34596,1.13259,0.72819945,0.27180055
1,1.34596,1.27134,0.71141944,0.28858056
1,1.34596,1.42709,0.69514664,0.30485336
1,1.34596,1.60192,0.67964321,0.32035679
1,1.34596,1.79817,0.66516287,0.33483713
1,1.34596,2.01846,0.65193433,0.34806567
1,1.34596,2.26573,0.64014377,0.35985623
1,1.34596,2.5433,0.62991863,0.37008137
1,1.34596,2.85487,0.62131483,0.37868517
1,1.34596,3.20461,0.61431017,0.38568983
1,1.34596,3.5972,0.6088057,0.3911943
1,1.34596,4.03788,0.60463608,0.39536392
2,1.81161,0,1,0
2,1.81161,0.05,0.98046177,0.019538229
2,1.81161,0.0565659,0.97796775,0.022032252
2,1.81161,0.063994,0.97516586,0.024834144
2,1.81161,0.0723976,0.97202098,0.027979023
2,1.81161,0.0819046,0.96849479,0.031505215
2,1.81161,0.0926602,0.96454568,0.035454315
2,1.81161,0.104828,0.96012882,0.039871177
2,1.81161,0.118594,0.95519621,0.04480379
2,1.81161,0.134167,0.94969697,0.050303027
2,1.81161,0.151786,0.94357779,0.056422205
2,1.81161,0.171718,0.93678358,0.063216422
2,1.81161,0.194268,0.92925838,0.070741615
2,1.81161,0.219779,0.92094673,0.079053272
2,1.81161,0.24864,0.91179526,0.088204742
2,1.81161,0.28129,0.90175492,0.098245078
2,1.81161,0.318229,0.89078365,0.10921635
2,1.81161,0.360018,0.87884958,0.12115042
2,1.81161,0.407295,0.86593493,0.13406507
2,1.81161,0.46078,0.85204027,0.14795973
2,1.81161,0.521288,0.83718938,0.16281062
2,1.81161,0.589743,0.82143425,0.17856575
2,1.81161,0.667186,0.80485998,0.19514002
2,1.81161,0.7548,0.78758918,0.21241082
2,1.81161,0.853918,0.76978523,0.23021477
2,1.81161,0.966053,0.75165352,0.24834648
2,1.81161,1.09291,0.73344,0.26656
2,1.81161,1.23643,0.71542602,0.28457398
2,1.81161,1.3988,0.69791876,0.30208124
2,1.81161,1.58248,0.68123684,0.31876316
2,1.81161,1.79029,0.66569128,0.33430872
2,1.81161,2.02539,0.65156292,0.34843708
