# queue_load_sweep_v12 -- BLIND artifact (provenance below stripped by pose.py).
# One single-server queue at FIVE loads (level 0..4, light load -> near capacity).
# tau is the queue's own clock (a lag). Columns: level, util_rel (relative offered
# load, normalized to the baseline level 0 = 1.0x), tau, C (queue-length fluctuation
# autocorrelation), chi (integrated response to a small steady load bump). No utilization
# values, no rates, no model parameters. Each load has its own settling window, so tau
# ranges differ (the heavily-loaded settings relax far more slowly).
level,util_rel,tau,C,chi
0,1,0,3.75,0
0,1,0.295237,3.6941698,0.055830226
0,1,0.35202,3.6835275,0.066472459
0,1,0.419725,3.6708785,0.079121468
0,1,0.500451,3.6558535,0.094146525
0,1,0.596704,3.638019,0.11198102
0,1,0.711469,3.616868,0.13313198
0,1,0.848307,3.5918097,0.15819028
0,1,1.01146,3.5621587,0.18784128
0,1,1.206,3.5271246,0.22287537
0,1,1.43795,3.4858024,0.26419756
0,1,1.71452,3.4371649,0.31283507
0,1,2.04427,3.3800591,0.36994093
0,1,2.43745,3.3132087,0.43679135
0,1,2.90625,3.2352266,0.51477337
0,1,3.46521,3.1446415,0.60535854
0,1,4.13168,3.0399429,0.7100571
0,1,4.92634,2.9196537,0.83034631
0,1,5.87383,2.7824342,0.96756585
0,1,7.00355,2.6272263,1.1227737
0,1,8.35056,2.4534416,1.2965584
0,1,9.95664,2.2611925,1.4888075
0,1,11.8716,2.0515564,1.6984436
0,1,14.1549,1.8268487,1.9231513
0,1,16.8773,1.5908596,2.1591404
0,1,20.1234,1.3489866,2.4010134
0,1,23.9938,1.1081736,2.6418264
0,1,28.6085,0.87656244,2.8734376
0,1,34.1108,0.66278665,3.0872134
0,1,40.6714,0.47491274,3.2750873
0,1,48.4938,0.31916258,3.4308374
0,1,57.8208,0.19870706,3.5512929
0,1,68.9415,0.11293615,3.6370638
0,1,82.2012,0.057578227,3.6924218
0,1,98.0111,0.025787674,3.7242123
0,1,116.862,0.0098962779,3.7401037
0,1,139.338,0.0031588796,3.7468411
0,1,166.137,0.00080948627,3.7491905
0,1,198.09,0.0001596451,3.7498404
0,1,236.19,2.3040796e-05,3.749977
1,2.66667,0,20,0
1,2.66667,1.34582,19.702239,0.29776121
1,2.66667,1.60466,19.64548,0.35451978
1,2.66667,1.91329,19.578019,0.42198116
1,2.66667,2.28128,19.497885,0.5021148
1,2.66667,2.72004,19.402768,0.59723211
1,2.66667,3.24319,19.289963,0.71003723
1,2.66667,3.86696,19.156319,0.8436815
1,2.66667,4.6107,18.99818,1.0018202
1,2.66667,5.49748,18.811331,1.1886686
1,2.66667,6.55482,18.590946,1.4090537
1,2.66667,7.81552,18.331546,1.6684537
1,2.66667,9.3187,18.026982,1.9730183
1,2.66667,11.111,17.670446,2.3295538
1,2.66667,13.248,17.254542,2.745458
1,2.66667,15.796,16.771421,3.2285789
1,2.66667,18.834,16.213029,3.7869712
1,2.66667,22.4564,15.571486,4.4285136
1,2.66667,26.7755,14.839649,5.1603512
1,2.66667,31.9253,14.011873,5.9881266
1,2.66667,38.0655,13.085022,6.9149782
1,2.66667,45.3868,12.059693,7.9403067
1,2.66667,54.1161,10.941634,9.058366
1,2.66667,64.5243,9.743193,10.256807
1,2.66667,76.9344,8.4845846,11.515415
1,2.66667,91.7313,7.1945951,12.805405
1,2.66667,109.374,5.9102591,14.089741
1,2.66667,130.41,4.6749997,15.325
1,2.66667,155.492,3.5348621,16.465138
1,2.66667,185.398,2.532868,17.467132
1,2.66667,221.056,1.7022004,18.2978
1,2.66667,263.573,1.059771,18.940229
1,2.66667,314.266,0.60232616,19.397674
1,2.66667,374.709,0.30708388,19.692916
1,2.66667,446.778,0.13753426,19.862466
1,2.66667,532.707,0.052780149,19.94722
1,2.66667,635.164,0.016847358,19.983153
1,2.66667,757.326,0.0043172601,19.995683
1,2.66667,902.984,0.00085144056,19.999149
1,2.66667,1076.66,0.00012288425,19.999877
2,6,0,90,0
2,6,5.69605,88.660075,1.3399254
2,6,6.79158,88.404661,1.595339
2,6,8.09782,88.101085,1.8989152
2,6,9.65529,87.740483,2.2595166
2,6,11.5123,87.312455,2.6875445
2,6,13.7265,86.804832,3.1951675
