# three_species_coupling_sweep_v11 — ONE cyclic community, FIVE cyclic-coupling
# strengths (the researcher's own interaction-strength knob; level 3 = their
# baseline run). The environment/noise is the SAME at every level.
# columns: level (1..5, ordered weak->strong coupling), coupling_rel (relative
#          cyclic-interaction strength, normalized to the baseline level 3 = 1.0x),
#          tau (community clock — a lag for the two-point columns, elapsed time for
#          the winding columns), C (normalized rotation-plane autocorr), chi
#          (integrated response), Cxy / Cyx (the two directed cross-correlations
#          between the two community-rotation axes), phiMean / phiVar (mean and
#          variance of the cumulative net turnover angle up to elapsed tau).
# All columns dimensionless (angle in radians). Five operating points (a sweep).
# Each level watched on its OWN clock, so tau ranges differ (slow loops watched longer).
# Generated by the community's own linear NESS propagator + per-level sim — not via conform.
level,coupling_rel,tau,C,chi,Cxy,Cyx,phiMean,phiVar
1,0.2500,0.362760,0.692666,0.000000,-0.065476,0.065476,0.101967,3.470654
1,0.2500,1.579072,0.189058,0.536226,-0.082228,0.082228,0.442948,17.521634
1,0.2500,2.795385,0.045676,0.678981,-0.040570,0.040570,0.808934,35.396356
1,0.2500,4.011697,0.009128,0.712311,-0.015633,0.015633,1.324295,60.779075
1,0.2500,5.228010,0.001131,0.718550,-0.005244,0.005244,1.659396,75.878437
1,0.2500,6.444322,-0.000164,0.719138,-0.001581,0.001581,1.834858,105.413873
1,0.2500,7.660635,-0.000192,0.718922,-0.000430,0.000430,2.078486,116.304917
1,0.2500,8.876947,-0.000094,0.718748,-0.000103,0.000103,2.379614,128.227371
1,0.2500,10.093260,-0.000036,0.718669,-0.000021,0.000021,2.656690,140.201236
1,0.2500,11.309573,-0.000012,0.718640,-0.000002,0.000002,3.048300,151.997043
1,0.2500,12.525885,-0.000004,0.718631,0.000000,-0.000000,3.431760,171.477274
1,0.2500,13.742198,-0.000001,0.718628,0.000000,-0.000000,3.733949,189.021439
1,0.2500,14.958510,-0.000000,0.718627,0.000000,-0.000000,4.084831,206.085976
1,0.2500,16.174823,-0.000000,0.718627,0.000000,-0.000000,4.336208,222.924013
1,0.2500,17.391135,-0.000000,0.718627,0.000000,-0.000000,4.626249,238.416339
1,0.2500,18.607448,0.000000,0.718627,0.000000,-0.000000,4.998493,253.659346
1,0.2500,19.823760,0.000000,0.718627,0.000000,-0.000000,5.240806,280.645089
1,0.2500,21.040073,0.000000,0.718627,0.000000,-0.000000,5.563936,301.138388
1,0.2500,22.256385,0.000000,0.718627,0.000000,-0.000000,5.861468,315.732575
1,0.2500,23.472698,0.000000,0.718627,0.000000,-0.000000,6.103310,328.465987
1,0.2500,24.689010,0.000000,0.718627,-0.000000,0.000000,6.305992,344.105170
1,0.2500,25.905323,0.000000,0.718627,-0.000000,0.000000,6.723560,359.070036
1,0.2500,27.121635,0.000000,0.718627,-0.000000,0.000000,7.043496,368.322300
1,0.2500,28.337948,0.000000,0.718627,-0.000000,0.000000,7.250170,382.933693
1,0.2500,29.554260,0.000000,0.718627,-0.000000,0.000000,7.530505,397.198679
1,0.2500,30.770573,-0.000000,0.718627,-0.000000,0.000000,7.864815,415.561629
1,0.2500,31.986885,-0.000000,0.718627,-0.000000,0.000000,8.243110,430.287022
1,0.2500,33.203198,-0.000000,0.718627,-0.000000,0.000000,8.508113,441.446107
1,0.2500,34.419510,-0.000000,0.718627,-0.000000,0.000000,8.728293,467.441613
1,0.2500,35.635823,-0.000000,0.718627,-0.000000,0.000000,9.001173,497.374254
1,0.2500,36.852135,-0.000000,0.718627,0.000000,-0.000000,9.218763,510.925587
1,0.2500,38.068448,-0.000000,0.718627,0.000000,-0.000000,9.660985,523.915036
1,0.2500,39.284760,-0.000000,0.718627,0.000000,-0.000000,9.817486,538.311585
1,0.2500,40.501073,-0.000000,0.718627,0.000000,-0.000000,9.915022,589.773574
1,0.2500,41.717385,-0.000000,0.718627,0.000000,-0.000000,10.367430,606.409544
1,0.2500,42.933698,0.000000,0.718627,0.000000,-0.000000,10.637246,617.311581
1,0.2500,44.150010,0.000000,0.718627,0.000000,-0.000000,10.992671,661.361715
1,0.2500,45.366323,0.000000,0.718627,0.000000,-0.000000,11.199445,680.764299
1,0.2500,46.582635,0.000000,0.718627,0.000000,-0.000000,11.451246,693.201189
