# three_species_cycle_noise_sweep_v5 — ONE cyclic community, FIVE environmental
# noise levels (the researcher's own buffeting knob; level 3 = their baseline run).
# columns: level (1..5, ordered low->high noise), noise_rel (relative buffeting
#          amplitude, normalized to the baseline level 3 = 1.0x), tau (community
#          clock — a lag for the two-point columns, elapsed time for the winding
#          columns), C (normalized rotation-plane autocorr), chi (integrated
#          response), Cxy / Cyx (the two directed cross-correlations between the
#          two community-rotation axes), phiMean / phiVar (mean and variance of
#          the cumulative net turnover angle up to elapsed tau, across sub-windows).
# All columns dimensionless (angle in radians). Five operating points (a sweep).
# Generated by the community's own linear NESS propagator + per-level sim — not via conform.
level,noise_rel,tau,C,chi,Cxy,Cyx,phiMean,phiVar
1,0.2000,0.090690,0.909248,0.000000,-0.085949,0.085949,0.083039,0.719277
1,0.2000,0.394768,0.617921,0.232189,-0.268755,0.268755,0.394453,3.649571
1,0.2000,0.698846,0.371706,0.382651,-0.330153,0.330153,0.847629,8.968792
1,0.2000,1.002924,0.184966,0.467287,-0.316755,0.316755,1.167536,13.064700
1,0.2000,1.307002,0.057082,0.504088,-0.264542,0.264542,1.468826,17.711782
1,0.2000,1.611081,-0.020627,0.509631,-0.198603,0.198603,1.817543,20.761557
1,0.2000,1.915159,-0.060003,0.497372,-0.134545,0.134545,2.134032,23.685158
1,0.2000,2.219237,-0.072928,0.477161,-0.080594,0.080594,2.462963,27.190694
1,0.2000,2.523315,-0.069622,0.455488,-0.039797,0.039797,2.839929,30.987851
1,0.2000,2.827393,-0.057949,0.436092,-0.011945,0.011945,3.160489,33.638527
1,0.2000,3.131471,-0.043376,0.420687,0.004911,-0.004911,3.557118,36.433035
1,0.2000,3.435549,-0.029293,0.409638,0.013389,-0.013389,3.941726,40.037519
1,0.2000,3.739628,-0.017472,0.402528,0.016106,-0.016106,4.268476,44.125766
1,0.2000,4.043706,-0.008560,0.398571,0.015301,-0.015301,4.534873,49.527128
1,0.2000,4.347784,-0.002494,0.396890,0.012693,-0.012693,4.878557,52.330489
1,0.2000,4.651862,0.001161,0.396687,0.009473,-0.009473,5.201885,55.942833
1,0.2000,4.955940,0.002986,0.397318,0.006377,-0.006377,5.488420,59.991456
1,0.2000,5.260018,0.003556,0.398313,0.003787,-0.003787,5.775002,64.037590
1,0.2000,5.564096,0.003362,0.399364,0.001840,-0.001840,6.099954,69.118291
1,0.2000,5.868174,0.002780,0.400298,0.000520,-0.000520,6.396421,71.743541
1,0.2000,6.172253,0.002069,0.401035,-0.000273,0.000273,6.691107,75.077786
1,0.2000,6.476331,0.001388,0.401561,-0.000666,0.000666,7.006028,85.461329
1,0.2000,6.780409,0.000821,0.401897,-0.000785,0.000785,7.364014,91.493805
1,0.2000,7.084487,0.000396,0.402082,-0.000739,0.000739,7.749844,94.699491
1,0.2000,7.388565,0.000108,0.402158,-0.000609,0.000609,8.051267,98.590024
1,0.2000,7.692643,-0.000064,0.402165,-0.000452,0.000452,8.416833,104.116867
1,0.2000,7.996721,-0.000148,0.402133,-0.000302,0.000302,8.707604,108.458304
1,0.2000,8.300799,-0.000173,0.402084,-0.000178,0.000178,9.022008,118.392530
1,0.2000,8.604878,-0.000162,0.402033,-0.000085,0.000085,9.289311,123.634240
1,0.2000,8.908956,-0.000133,0.401988,-0.000022,0.000022,9.624432,128.516466
1,0.2000,9.213034,-0.000099,0.401953,0.000015,-0.000015,9.960009,134.440779
1,0.2000,9.517112,-0.000066,0.401928,0.000033,-0.000033,10.302930,138.817052
1,0.2000,9.821190,-0.000039,0.401912,0.000038,-0.000038,10.569385,141.361096
