# three_species_cycle_v3 — one cyclic-community observation window.
# columns: tau (community clock — a lag for the two-point columns, an
#          elapsed time for the winding columns; same clock either way),
#          C (normalized rotation-plane autocorr), chi (integrated
#          response), Cxy / Cyx (the two directed cross-correlations
#          between the two community-rotation axes), phiMean / phiVar
#          (mean and variance of the cumulative net turnover angle swept
#          up to elapsed tau, across the run's sub-windows).
# All columns dimensionless (angle in radians). One operating point.
# Generated by the community's own linear NESS propagator + sim — not via conform.
tau,C,chi,Cxy,Cyx,phiMean,phiVar
0.090690,0.909248,0.000000,-0.085949,0.085949,0.100189,1.220692
0.394768,0.617921,0.232189,-0.268755,0.268755,0.374936,4.107310
0.698846,0.371706,0.382651,-0.330153,0.330153,0.709582,8.161479
1.002924,0.184966,0.467287,-0.316755,0.316755,1.003429,12.852750
1.307002,0.057082,0.504088,-0.264542,0.264542,1.278746,17.777486
1.611081,-0.020627,0.509631,-0.198603,0.198603,1.522936,21.514295
1.915159,-0.060003,0.497372,-0.134545,0.134545,1.846786,28.688457
2.219237,-0.072928,0.477161,-0.080594,0.080594,2.309641,49.896101
2.523315,-0.069622,0.455488,-0.039797,0.039797,2.662571,52.130191
2.827393,-0.057949,0.436092,-0.011945,0.011945,3.008772,56.272712
3.131471,-0.043376,0.420687,0.004911,-0.004911,3.350314,58.848489
3.435549,-0.029293,0.409638,0.013389,-0.013389,3.664499,60.395571
3.739628,-0.017472,0.402528,0.016106,-0.016106,4.026240,63.171259
4.043706,-0.008560,0.398571,0.015301,-0.015301,4.302663,66.809637
4.347784,-0.002494,0.396890,0.012693,-0.012693,4.607887,71.081767
4.651862,0.001161,0.396687,0.009473,-0.009473,4.866418,75.700480
4.955940,0.002986,0.397318,0.006377,-0.006377,5.201626,80.330166
5.260018,0.003556,0.398313,0.003787,-0.003787,5.440668,90.055729
5.564096,0.003362,0.399364,0.001840,-0.001840,5.819088,98.406747
5.868174,0.002780,0.400298,0.000520,-0.000520,6.230433,115.257700
6.172253,0.002069,0.401035,-0.000273,0.000273,6.492103,119.952882
6.476331,0.001388,0.401561,-0.000666,0.000666,6.838383,124.747203
6.780409,0.000821,0.401897,-0.000785,0.000785,7.108140,126.279800
7.084487,0.000396,0.402082,-0.000739,0.000739,7.339154,129.195851
7.388565,0.000108,0.402158,-0.000609,0.000609,7.661153,133.683486
7.692643,-0.000064,0.402165,-0.000452,0.000452,8.143091,185.585822
7.996721,-0.000148,0.402133,-0.000302,0.000302,8.487728,187.349612
